Rodada: 82, Jogador: 0, carta da vez: 06♠, maiores montes Jogador: jogador 0 - Total de cartas: 48 - ,  baralho tem 17 cartas.
Rodada: 83, Jogador: 0, carta da vez: 05♠, maiores montes Jogador: jogador 0 - Total de cartas: 49 - ,  baralho tem 16 cartas.
Rodada: 84, Jogador: 0, carta da vez: 04♥, maiores montes Jogador: jogador 0 - Total de cartas: 50 - ,  baralho tem 15 cartas.
Rodada: 85, Jogador: 0, carta da vez: 03♣, maiores montes Jogador: jogador 0 - Total de cartas: 51 - ,  baralho tem 14 cartas.
Rodada: 86, Jogador: 0, carta da vez: 02♠, maiores montes Jogador: jogador 0 - Total de cartas: 52 - ,  baralho tem 13 cartas.
Rodada: 87, Jogador: 0, carta da vez: 10♠, maiores montes Jogador: jogador 0 - Total de cartas: 53 - ,  baralho tem 12 cartas.
Rodada: 88, Jogador: 0, carta da vez: 08♠, maiores montes Jogador: jogador 0 - Total de cartas: 54 - ,  baralho tem 11 cartas.
Rodada: 89, Jogador: 0, carta da vez: 12♣, maiores montes Jogador: jogador 0 - Total de cartas: 55 - ,  baralho tem 10 cartas.
Rodada: 90, Jogador: 0, carta da vez: 11♠, maiores montes Jogador: jogador 0 - Total de cartas: 56 - ,  baralho tem 9 cartas.
Rodada: 91, Jogador: 0, carta da vez: 10♦, maiores montes Jogador: jogador 0 - Total de cartas: 57 - ,  baralho tem 8 cartas.
Rodada: 92, Jogador: 0, carta da vez: 06♦, maiores montes Jogador: jogador 0 - Total de cartas: 58 - ,  baralho tem 7 cartas.
Rodada: 93, Jogador: 0, carta da vez: 08♣, maiores montes Jogador: jogador 0 - Total de cartas: 59 - ,  baralho tem 6 cartas.
Rodada: 94, Jogador: 0, carta da vez: 07♠, maiores montes Jogador: jogador 0 - Total de cartas: 60 - ,  baralho tem 5 cartas.
Rodada: 95, Jogador: 0, carta da vez: 05♥, maiores montes Jogador: jogador 0 - Total de cartas: 61 - ,  baralho tem 4 cartas.
Rodada: 96, Jogador: 0, carta da vez: 02♦, maiores montes Jogador: jogador 0 - Total de cartas: 62 - ,  baralho tem 3 cartas.
Rodada: 97, Jogador: 0, carta da vez: 04♣, maiores montes Jogador: jogador 0 - Total de cartas: 63 - ,  baralho tem 2 cartas.
Rodada: 98, Jogador: 0, carta da vez: 07♣, maiores montes Jogador: jogador 0 - Total de cartas: 64 - ,  baralho tem 1 cartas.
Rodada: 99, Jogador: 0, carta da vez: 02♦, maiores montes Jogador: jogador 0 - Total de cartas: 65 - ,  baralho tem 0 cartas.
